word,label,bound,flag,radical,pinyin
临,O,B,v,丨,lín
诊,O,E,v,讠,zhěn
应,O,B,v,广,yīng
对,O,E,v,寸,duì
LB,O,S,x,UNK,UNK
肾,B-Disease,B,l,月,shèn
上,I-Disease,M,l,一,shàng
腺,I-Disease,E,l,月,xiàn
皮,I-Disease,B,n,皮,pí
质,I-Disease,E,n,贝,zhì
功,I-Disease,B,n,力,gōng
能,I-Disease,E,n,月,néng
不,I-Disease,S,d,一,bù
全,I-Disease,S,a,入,quán
合,O,B,v,口,hé
并,O,E,v,干,bìng
抗,B-Disease,S,v,扌,kàng
利,I-Disease,B,n,刂,lì
尿,I-Disease,E,n,尸,niào
激,I-Disease,B,n,氵,jī
素,I-Disease,E,n,糸,sù
分,I-Disease,B,v,刀,fēn
泌,I-Disease,E,v,氵,mì
异,I-Disease,B,d,廾,yì
常,I-Disease,E,d,巾,cháng
综,I-Disease,B,n,纟,zōng
合,I-Disease,M,n,口,hé
征,I-Disease,E,n,彳,zhēng
的,O,S,uj,白,dí
临,O,B,v,丨,lín
诊,O,E,v,讠,zhěn
LB,O,S,x,UNK,UNK
应,O,B,v,广,yīng
对,O,E,v,寸,duì
LB,O,S,x,UNK,UNK
王,O,B,nr,王,wáng
冰,O,M,nr,冫,bīng
洁,O,E,nr,氵,jié
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
吴,O,S,nr,口,wú
红,O,B,n,纟,hóng
花,O,E,n,艹,huā
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
张,O,B,nr,弓,zhāng
俊,O,M,nr,亻,jùn
清,O,E,nr,氵,qīng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
高,O,B,nr,高,gāo
燕,O,M,nr,灬,yàn
明,O,E,nr,日,míng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
郭,O,B,nr,阝,guō
晓,O,M,nr,日,xiǎo
蕙,O,E,nr,艹,huì
sep,sep,sep,sep,sep,sep
LB,O,S,x,UNK,UNK
[,O,S,x,UNK,UNK
提,O,B,v,扌,tí
要,O,E,v,覀,yào
],O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
报,O,B,v,扌,bào
道,O,E,v,辶,dào
SPACE,O,S,x,UNK,UNK
num,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
例,O,S,v,亻,lì
肾,B-Disease,B,l,月,shèn
上,I-Disease,M,l,一,shàng
腺,I-Disease,E,l,月,xiàn
皮,I-Disease,B,n,皮,pí
质,I-Disease,E,n,贝,zhì
功,I-Disease,B,n,力,gōng
能,I-Disease,E,n,月,néng
不,I-Disease,S,d,一,bù
全,I-Disease,S,a,入,quán
合,O,B,v,口,hé
并,O,E,v,干,bìng
抗,B-Disease,S,v,扌,kàng
利,I-Disease,B,n,刂,lì
尿,I-Disease,E,n,尸,niào
激,I-Disease,B,n,氵,jī
素,I-Disease,E,n,糸,sù
分,I-Disease,B,v,刀,fēn
泌,I-Disease,E,v,氵,mì
异,I-Disease,B,d,廾,yì
常,I-Disease,E,d,巾,cháng
