word,label,bound,flag,radical,pinyin
临,O,B,vn,丨,lín
床,O,E,vn,广,chuáng
研,O,B,vn,石,yán
究,O,E,vn,穴,jiū
LB,O,S,x,UNK,UNK
基,O,B,n,土,jī
金,O,M,n,金,jīn
项,O,M,n,页,xiàng
目,O,E,n,目,mù
:,O,S,x,UNK,UNK
国,O,B,nt,囗,guó
家,O,M,nt,宀,jiā
自,O,M,nt,自,zì
然,O,M,nt,灬,rán
科,O,M,nt,禾,kē
学,O,M,nt,子,xué
基,O,M,nt,土,jī
金,O,E,nt,金,jīn
项,O,B,n,页,xiàng
目,O,E,n,目,mù
(,O,S,x,UNK,UNK
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
),O,S,x,UNK,UNK
",",O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
国,O,B,n,囗,guó
家,O,E,n,宀,jiā
重,O,B,n,里,zhòng
点,O,M,n,灬,diǎn
项,O,M,n,页,xiàng
目,O,E,n,目,mù
临,O,B,vn,丨,lín
床,O,E,vn,广,chuáng
LB,O,S,x,UNK,UNK
学,O,B,n,子,xué
科,O,E,n,禾,kē
(,O,S,x,UNK,UNK
W,O,B,eng,UNK,UNK
B,O,M,eng,UNK,UNK
Y,O,M,eng,UNK,UNK
Z,O,M,eng,UNK,UNK
num,O,M,eng,UNK,UNK
num,O,M,eng,UNK,UNK
num,O,M,eng,UNK,UNK
num,O,E,eng,UNK,UNK
-,O,S,x,UNK,UNK
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
),O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
室,O,S,n,宀,shì
(,O,S,x,UNK,UNK
周,O,B,nr,口,zhōu
美,O,M,nr,八,měi
岑,O,E,nr,山,cén
、,O,S,x,UNK,UNK
闵,O,B,nr,门,mǐn
锐,O,E,nr,钅,ruì
、,O,S,x,UNK,UNK
童,O,B,nr,立,tóng
安,O,M,nr,宀,ān
莉,O,E,nr,艹,lì
、,O,S,x,UNK,UNK
许,O,B,nr,讠,xǔ
建,O,M,nr,廴,jiàn
萍,O,E,nr,艹,píng
、,O,S,x,UNK,UNK
张,O,B,nr,弓,zhāng
化,O,M,nr,亻,huà
冰,O,E,nr,冫,bīng
、,O,S,x,UNK,UNK
李,O,B,nr,木,lǐ
玉,O,M,nr,玉,yù
秀,O,E,nr,禾,xiù
),O,S,x,UNK,UNK
;,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
内,O,B,ns,冂,nèi
蒙,O,M,ns,艹,mēng
古,O,E,ns,口,gǔ
赤,O,B,ns,赤,chì
峰,O,M,ns,山,fēng
市,O,E,ns,巾,shì
红,O,B,ns,纟,hóng
山,O,E,ns,山,shān
LB,O,S,x,UNK,UNK
中,O,B,nt,丨,zhōng
医,O,M,nt,匚,yī
院,O,E,nt,阝,yuàn
(,O,S,x,UNK,UNK
纪,O,S,nr,纟,jì
建,O,B,n,廴,jiàn
军,O,E,n,冖,jūn
),O,S,x,UNK,UNK
;,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
天,O,B,nt,大,tiān
津,O,M,nt,氵,jīn
医,O,M,nt,匚,yī
科,O,M,nt,禾,kē
大,O,M,nt,大,dà
学,O,E,nt,子,xué
代,O,B,v,亻,dài
谢,O,E,v,讠,xiè
病,O,S,n,疒,bìng
医,O,B,n,匚,yī
院,O,E,n,阝,yuàn
(,O,S,x,UNK,UNK
张,O,B,nr,弓,zhāng
饰,O,E,nr,饣,shì
),O,S,x,UNK,UNK
;,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
河,O,B,ns,氵,hé
南,O,M,ns,十,nán
省,O,E,ns,目,shěng
南,O,B,ns,十,nán
阳,O,M,ns,阝,yáng
市,O,E,ns,巾,shì
中,O,S,f,丨,zhōng
LB,O,S,x,UNK,UNK
心,O,S,n,心,xīn
医,O,B,n,匚,yī
院,O,E,n,阝,yuàn
内,O,B,n,冂,nèi
分,O,M,n,刀,fēn
泌,O,M,n,氵,mì
科,O,E,n,禾,kē
(,O,S,x,UNK,UNK
李,O,B,nr,木,lǐ
曾,O,E,nr,曰,zēng
一,O,S,m,一,yī
),O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
母,O,B,n,母,mǔ
系,O,E,n,糸,xì
遗,O,B,vn,辶,yí
传,O,E,vn,亻,chuán
伴,O,S,v,亻,bàn
