word,label,bound,flag,radical,pinyin
针,O,B,p,钅,zhēn
对,O,E,p,寸,duì
中,O,B,ns,丨,zhōng
国,O,E,ns,囗,guó
肥,O,B,a,月,féi
胖,O,E,a,月,pàng
与,O,S,p,一,yǔ
糖,O,B,n,米,táng
尿,O,M,n,尸,niào
病,O,E,n,疒,bìng
外,O,B,n,夕,wài
科,O,M,n,禾,kē
手,O,M,n,手,shǒu
术,O,E,n,木,shù
规,O,B,n,见,guī
范,O,E,n,艹,fàn
的,O,S,uj,白,dí
LB,O,S,x,UNK,UNK
立,O,B,n,立,lì
场,O,E,n,土,cháng
声,O,B,n,士,shēng
明,O,E,n,日,míng
LB,O,S,x,UNK,UNK
中,O,B,ns,丨,zhōng
国,O,E,ns,囗,guó
医,O,B,n,匚,yī
师,O,E,n,巾,shī
协,O,B,n,十,xié
会,O,E,n,人,huì
外,O,B,n,夕,wài
科,O,E,n,禾,kē
医,O,B,n,匚,yī
师,O,E,n,巾,shī
分,O,B,n,刀,fēn
会,O,E,n,人,huì
肥,O,B,a,月,féi
胖,O,E,a,月,pàng
与,O,S,p,一,yǔ
糖,O,B,n,米,táng
尿,O,M,n,尸,niào
病,O,E,n,疒,bìng
外,O,B,n,夕,wài
科,O,E,n,禾,kē
医,O,B,n,匚,yī
师,O,E,n,巾,shī
委,O,B,n,女,wěi
员,O,M,n,口,yuán
会,O,E,n,人,huì
LB,O,S,x,UNK,UNK
中,O,B,nt,丨,zhōng
华,O,M,nt,十,huá
医,O,M,nt,匚,yī
学,O,M,nt,子,xué
会,O,E,nt,人,huì
外,O,B,n,夕,wài
科,O,E,n,禾,kē
分,O,B,n,刀,fēn
会,O,E,n,人,huì
甲,O,B,l,田,jiǎ
状,O,M,l,犬,zhuàng
腺,O,E,l,月,xiàn
与,O,S,p,一,yǔ
代,O,B,v,亻,dài
谢,O,E,v,讠,xiè
外,O,B,nt,夕,wài
科,O,M,nt,禾,kē
学,O,E,nt,子,xué
组,O,S,zg,纟,zǔ
LB,O,S,x,UNK,UNK
我,O,B,r,戈,wǒ
国,O,E,r,囗,guó
肥,B-Disease,B,a,月,féi
胖,I-Disease,E,a,月,pàng
与,O,S,p,一,yǔ
糖,B-Disease,B,n,米,táng
尿,I-Disease,M,n,尸,niào
病,I-Disease,E,n,疒,bìng
外,O,B,n,夕,wài
科,O,E,n,禾,kē
(,O,S,x,UNK,UNK
减,O,B,v,冫,jiǎn
重,O,E,v,里,zhòng
代,O,B,v,亻,dài
谢,O,E,v,讠,xiè
外,O,B,n,夕,wài
科,O,E,n,禾,kē
),O,S,x,UNK,UNK
事,O,B,n,亅,shì
业,O,E,n,一,yè
LB,O,S,x,UNK,UNK
起,O,B,v,走,qǐ
源,O,M,v,氵,yuán
于,O,E,v,二,yú
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
郑,O,S,ns,阝,zhèng
成,O,B,n,戈,chéng
竹,O,E,n,竹,zhú
教,O,B,n,攵,jiào
授,O,E,n,扌,shòu
开,O,B,v,廾,kāi
展,O,E,v,尸,zhǎn
的,O,S,uj,白,dí
第,O,B,m,竹,dì
一,O,M,m,一,yī
例,O,E,m,亻,lì
腹,B-Operation,B,n,月,fù
腔,I-Operation,M,n,月,qiāng
镜,I-Operation,E,n,钅,jìng
垂,I-Operation,B,v,土,chuí
直,I-Operation,E,v,目,zhí
LB,I-Operation,S,x,UNK,UNK
胃,I-Operation,S,n,月,wèi
绑,I-Operation,B,n,纟,bǎng
带,I-Operation,E,n,巾,dài
术,I-Operation,S,v,木,shù
",",O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
经,O,B,p,纟,jīng
过,O,E,p,辶,guò
近,O,S,t,辶,jìn
num,O,B,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
的,O,S,uj,白,dí
发,O,B,vn,又,fā
展,O,E,vn,尸,zhǎn
",",O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
国,O,B,s,囗,guó
内,O,E,s,冂,nèi
开,O,B,v,廾,kāi
展,O,E,v,尸,zhǎn
手,O,B,n,手,shǒu
术,O,E,n,木,shù
的,O,S,uj,白,dí
医,O,B,n,匚,yī
院,O,E,n,阝,yuàn
LB,O,S,x,UNK,UNK
已,O,B,d,己,yǐ
经,O,E,d,纟,jīng
超,O,B,v,走,chāo
过,O,E,v,辶,guò
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
家,O,S,m,宀,jiā
",",O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
手,O,B,n,手,shǒu
术,O,E,n,木,shù
例,O,B,n,亻,lì
数,O,E,n,攵,shù
近,O,B,t,辶,jìn
年,O,E,t,干,nián
也,O,S,d,乙,yě
呈,O,B,v,口,chéng
