word,label,bound,flag,radical,pinyin
临,O,B,vn,丨,lín
床,O,E,vn,广,chuáng
研,O,B,vn,石,yán
究,O,E,vn,穴,jiū
LB,O,S,x,UNK,UNK
基,O,B,n,土,jī
金,O,M,n,金,jīn
项,O,M,n,页,xiàng
目,O,E,n,目,mù
:,O,S,x,UNK,UNK
南,O,B,ns,十,nán
京,O,M,ns,亠,jīng
市,O,E,ns,巾,shì
卫,O,B,nt,卩,wèi
生,O,M,nt,生,shēng
局,O,E,nt,尸,jú
基,O,B,n,土,jī
金,O,M,n,金,jīn
项,O,M,n,页,xiàng
目,O,E,n,目,mù
(,O,S,x,UNK,UNK
Y,O,B,eng,UNK,UNK
K,O,M,eng,UNK,UNK
K,O,M,eng,UNK,UNK
num,O,M,eng,UNK,UNK
num,O,M,eng,UNK,UNK
num,O,M,eng,UNK,UNK
num,O,M,eng,UNK,UNK
num,O,E,eng,UNK,UNK
),O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
血,B-Test,B,n,血,xiě
脂,I-Test,E,n,月,zhī
水,I-Test,B,n,水,shuǐ
平,I-Test,E,n,干,píng
对,O,S,p,寸,duì
胰,B-Anatomy,B,n,月,yí
岛,I-Anatomy,E,n,山,dǎo
功,O,B,n,力,gōng
能,O,E,n,月,néng
的,O,S,uj,白,dí
影,O,B,vn,彡,yǐng
响,O,E,vn,口,xiǎng
在,O,S,p,土,zài
SPACE,O,S,x,UNK,UNK
num,B-Disease,S,x,UNK,UNK
SPACE,I-Disease,S,x,UNK,UNK
型,I-Disease,S,k,土,xíng
糖,I-Disease,B,n,米,táng
尿,I-Disease,M,n,尸,niào
病,I-Disease,E,n,疒,bìng
和,O,S,c,口,hé
正,O,B,d,止,zhèng
常,O,E,d,巾,cháng
人,O,B,n,人,rén
群,O,E,n,羊,qún
中,O,S,f,丨,zhōng
存,O,B,v,子,cún
在,O,E,v,土,zài
LB,O,S,x,UNK,UNK
差,O,B,n,工,chà
异,O,E,n,廾,yì
LB,O,S,x,UNK,UNK
郭,O,B,nr,阝,guō
雯,O,E,nr,雨,wén
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
李,O,B,nr,木,lǐ
杰,O,E,nr,木,jié
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
王,O,B,nr,王,wáng
亚,O,M,nr,二,yà
梅,O,E,nr,木,méi
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
陈,O,B,nr,阝,chén
晓,O,M,nr,日,xiǎo
倩,O,E,nr,亻,qiàn
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
上,O,B,n,一,shàng
官,O,E,n,宀,guān
海,O,B,nr,氵,hǎi
燕,O,E,nr,灬,yàn
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
欣,O,S,nr,欠,xīn
冰,O,S,n,冫,bīng
sep,sep,sep,sep,sep,sep
LB,O,S,x,UNK,UNK
[,O,S,x,UNK,UNK
提,O,B,v,扌,tí
要,O,E,v,覀,yào
],O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
研,O,B,vn,石,yán
究,O,E,vn,穴,jiū
血,B-Test,B,n,血,xiě
脂,I-Test,E,n,月,zhī
对,O,S,p,寸,duì
胰,B-Anatomy,B,n,月,yí
岛,I-Anatomy,E,n,山,dǎo
功,O,B,n,力,gōng
能,O,E,n,月,néng
的,O,S,uj,白,dí
影,O,B,vn,彡,yǐng
响,O,E,vn,口,xiǎng
在,O,S,p,土,zài
SPACE,O,S,x,UNK,UNK
num,B-Disease,S,x,UNK,UNK
SPACE,I-Disease,S,x,UNK,UNK
型,I-Disease,S,k,土,xíng
糖,I-Disease,B,n,米,táng
尿,I-Disease,M,n,尸,niào
病,I-Disease,E,n,疒,bìng
及,O,S,c,又,jí
正,O,B,d,止,zhèng
常,O,E,d,巾,cháng
人,O,B,n,人,rén
群,O,E,n,羊,qún
中,O,S,f,丨,zhōng
是,O,B,v,日,shì
否,O,E,v,口,fǒu
表,O,B,v,衣,biǎo
现,O,E,v,见,xiàn
不,O,B,a,一,bù
同,O,E,a,口,tóng
。,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
结,O,B,n,纟,jié
果,O,M,n,木,guǒ
表,O,M,n,衣,biǎo
明,O,E,n,日,míng
",",O,S,x,UNK,UNK
在,O,S,p,土,zài
正,O,B,d,止,zhèng
常,O,E,d,巾,cháng
LB,O,S,x,UNK,UNK
人,O,B,n,人,rén
