word,label,bound,flag,radical,pinyin
病,O,B,n,疒,bìng
例,O,E,n,亻,lì
报,O,B,n,扌,bào
告,O,E,n,口,gào
LB,O,S,x,UNK,UNK
K,B-Disease,B,eng,UNK,UNK
l,I-Disease,M,eng,UNK,UNK
i,I-Disease,M,eng,UNK,UNK
n,I-Disease,M,eng,UNK,UNK
e,I-Disease,M,eng,UNK,UNK
f,I-Disease,M,eng,UNK,UNK
e,I-Disease,M,eng,UNK,UNK
l,I-Disease,M,eng,UNK,UNK
t,I-Disease,M,eng,UNK,UNK
e,I-Disease,M,eng,UNK,UNK
r,I-Disease,E,eng,UNK,UNK
SPACE,I-Disease,S,x,UNK,UNK
综,I-Disease,B,n,纟,zōng
合,I-Disease,M,n,口,hé
征,I-Disease,E,n,彳,zhēng
合,O,B,v,口,hé
并,O,E,v,干,bìng
SPACE,O,S,x,UNK,UNK
G,B-Disease,B,eng,UNK,UNK
r,I-Disease,M,eng,UNK,UNK
a,I-Disease,M,eng,UNK,UNK
v,I-Disease,M,eng,UNK,UNK
e,I-Disease,M,eng,UNK,UNK
s,I-Disease,E,eng,UNK,UNK
SPACE,I-Disease,S,x,UNK,UNK
病,I-Disease,S,n,疒,bìng
一,O,B,m,一,yī
例,O,E,m,亻,lì
LB,O,S,x,UNK,UNK
罗,O,S,j,罒,luó
×,O,S,x,UNK,UNK
丽,O,S,nr,一,lì
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
刘,O,B,nr,刂,liú
璐,O,E,nr,王,lù
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
张,O,B,nr,弓,zhāng
小,O,M,nr,小,xiǎo
丽,O,E,nr,一,lì
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
杨,O,S,nr,木,yáng
篷,O,S,n,竹,péng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
李,O,B,nr,木,lǐ
春,O,M,nr,日,chūn
燕,O,E,nr,灬,yàn
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
盛,O,B,nr,皿,shèng
春,O,M,nr,日,chūn
君,O,E,nr,口,jūn
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
张,O,B,nr,弓,zhāng
曼,O,M,nr,曰,màn
娜,O,E,nr,女,nà
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
李,O,B,nr,木,lǐ
鸿,O,E,nr,鸟,hóng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
曲,O,B,nr,曰,qū
伸,O,E,nr,亻,shēn
LB,O,S,x,UNK,UNK
A,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
c,O,B,eng,UNK,UNK
a,O,M,eng,UNK,UNK
s,O,M,eng,UNK,UNK
e,O,E,eng,UNK,UNK
SPACE,O,S,x,UNK,UNK
o,O,B,eng,UNK,UNK
f,O,E,eng,UNK,UNK
SPACE,O,S,x,UNK,UNK
G,O,B,eng,UNK,UNK
r,O,M,eng,UNK,UNK
a,O,M,eng,UNK,UNK
v,O,M,eng,UNK,UNK
e,O,M,eng,UNK,UNK
s,O,E,eng,UNK,UNK
忆,O,S,nr,忄,yì
SPACE,O,S,x,UNK,UNK
d,O,B,eng,UNK,UNK
i,O,M,eng,UNK,UNK
s,O,M,eng,UNK,UNK
e,O,M,eng,UNK,UNK
a,O,M,eng,UNK,UNK
s,O,M,eng,UNK,UNK
e,O,E,eng,UNK,UNK
SPACE,O,S,x,UNK,UNK
a,O,B,eng,UNK,UNK
s,O,M,eng,UNK,UNK
s,O,M,eng,UNK,UNK
o,O,M,eng,UNK,UNK
