word,label,bound,flag,radical,pinyin
围,O,B,n,囗,wéi
术,O,E,n,木,shù
期,O,S,n,月,qī
血,B-Test,B,n,血,xiě
糖,I-Test,E,n,米,táng
管,O,B,vn,竹,guǎn
理,O,E,vn,王,lǐ
专,O,B,n,一,zhuān
家,O,E,n,宀,jiā
共,O,B,n,八,gòng
识,O,E,n,讠,shí
(,O,S,x,UNK,UNK
快,O,B,a,忄,kuài
捷,O,E,a,扌,jié
版,O,S,n,片,bǎn
),O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
中,O,B,nt,丨,zhōng
华,O,M,nt,十,huá
医,O,M,nt,匚,yī
学,O,M,nt,子,xué
会,O,E,nt,人,huì
麻,O,B,nr,麻,má
醉,O,M,nr,酉,zuì
学,O,E,nr,子,xué
分,O,B,n,刀,fēn
会,O,E,n,人,huì
LB,O,S,x,UNK,UNK
血,B-Test,B,n,血,xiě
糖,I-Test,E,n,米,táng
异,B-Level,B,d,廾,yì
常,I-Level,E,d,巾,cháng
增,I-Level,B,v,土,zēng
高,I-Level,E,v,高,gāo
是,O,S,v,日,shì
围,O,B,n,囗,wéi
术,O,M,n,木,shù
期,O,E,n,月,qī
的,O,S,uj,白,dí
常,O,B,l,巾,cháng
见,O,M,l,见,jiàn
问,O,M,l,门,wèn
题,O,E,l,页,tí
。,O,S,x,UNK,UNK
一,O,B,mq,一,yī
方,O,M,mq,方,fāng
面,O,E,mq,面,miàn
",",O,S,x,UNK,UNK
手,B-Operation,B,n,手,shǒu
术,I-Operation,E,n,木,shù
创,O,B,v,刂,chuàng
伤,O,E,v,亻,shāng
LB,O,S,x,UNK,UNK
应,O,B,v,广,yīng
激,O,E,v,氵,jī
诱,O,B,v,讠,yòu
发,O,E,v,又,fā
机,O,B,n,木,jī
体,O,E,n,亻,tǐ
分,O,B,v,刀,fēn
泌,O,E,v,氵,mì
儿,B-Test,B,n,儿,ér
茶,I-Test,M,n,艹,chá
酚,I-Test,M,n,酉,fēn
胺,I-Test,E,n,月,àn
、,O,S,x,UNK,UNK
皮,B-Test,B,n,皮,pí
质,I-Test,M,n,贝,zhì
醇,I-Test,E,n,酉,chún
和,O,S,c,口,hé
炎,B-Test,B,n,火,yán
性,I-Test,E,n,忄,xìng
介,I-Test,B,n,人,jiè
质,I-Test,E,n,贝,zhì
等,O,S,u,竹,děng
胰,B-Test,B,n,月,yí
岛,I-Test,M,n,山,dǎo
素,I-Test,E,n,糸,sù
拮,I-Test,S,n,扌,jié
LB,I-Test,S,x,UNK,UNK
抗,I-Test,S,v,扌,kàng
因,I-Test,B,n,囗,yīn
子,I-Test,E,n,子,zǐ
",",O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
促,O,B,v,亻,cù
使,O,E,v,亻,shǐ
血,B-Test,B,n,血,xiě
糖,I-Test,E,n,米,táng
增,I-Test,B,v,土,zēng
高,I-Test,E,v,高,gāo
[,O,S,x,UNK,UNK
num,O,S,x,UNK,UNK
],O,S,x,UNK,UNK
。,O,S,x,UNK,UNK
另,O,B,c,口,lìng
一,O,M,c,一,yī
方,O,M,c,方,fāng
面,O,E,c,面,miàn
",",O,S,x,UNK,UNK
合,O,B,v,口,hé
并,O,E,v,干,bìng
糖,B-Disease,B,n,米,táng
尿,I-Disease,M,n,尸,niào
病,I-Disease,E,n,疒,bìng
、,O,S,x,UNK,UNK
代,B-Disease,B,v,亻,dài
谢,I-Disease,E,v,讠,xiè
综,I-Disease,B,vn,纟,zōng
合,I-Disease,E,vn,口,hé
LB,I-Disease,S,x,UNK,UNK
征,I-Disease,S,v,彳,zhēng
等,O,S,u,竹,děng
胰,B-Disease,B,n,月,yí
岛,I-Disease,M,n,山,dǎo
素,I-Disease,E,n,糸,sù
抵,I-Disease,B,vn,扌,dǐ
抗,I-Disease,E,vn,扌,kàng
或,I-Disease,S,c,戈,huò
胰,I-Disease,B,n,月,yí
岛,I-Disease,M,n,山,dǎo
素,I-Disease,E,n,糸,sù
分,I-Disease,B,v,刀,fēn
泌,I-Disease,E,v,氵,mì
障,I-Disease,B,n,阝,zhàng
碍,I-Disease,E,n,石,ài
疾,I-Disease,B,n,疒,jí
病,I-Disease,E,n,疒,bìng
的,O,S,uj,白,dí
患,O,B,n,心,huàn
者,O,E,n,耂,zhě
更,O,S,d,曰,gēng
容,O,B,a,宀,róng
易,O,E,a,日,yì
发,O,B,v,又,fā
生,O,E,v,生,shēng
LB,O,S,x,UNK,UNK
围,B-Disease,B,n,囗,wéi
术,I-Disease,E,n,木,shù
期,I-Disease,S,n,月,qī
高,I-Disease,B,n,高,gāo
血,I-Disease,M,n,血,xiě
糖,I-Disease,E,n,米,táng
。,O,S,x,UNK,UNK
另,O,B,c,口,lìng
外,O,E,c,夕,wài
",",O,S,x,UNK,UNK
