word,label,bound,flag,radical,pinyin
临,O,B,vn,丨,lín
床,O,E,vn,广,chuáng
研,O,B,vn,石,yán
究,O,E,vn,穴,jiū
LB,O,S,x,UNK,UNK
内,O,B,n,冂,nèi
分,O,M,n,刀,fēn
泌,O,M,n,氵,mì
科,O,E,n,禾,kē
(,O,S,x,UNK,UNK
丁,O,B,nr,一,dīng
福,O,M,nr,礻,fú
万,O,E,nr,一,wàn
、,O,S,x,UNK,UNK
江,O,B,nr,氵,jiāng
冬,O,M,nr,夂,dōng
梅,O,E,nr,木,méi
),O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
血,B-Test,B,n,血,xiě
清,I-Test,E,n,氵,qīng
胎,I-Test,S,n,月,tāi
球,I-Test,B,l,王,qiú
蛋,I-Test,M,l,虫,dàn
白,I-Test,E,l,白,bái
SPACE,I-Test,S,x,UNK,UNK
A,I-Test,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
及,O,S,c,又,jí
脂,B-Test,B,n,月,zhī
联,I-Test,M,n,耳,lián
素,I-Test,E,n,糸,sù
水,O,B,n,水,shuǐ
平,O,E,n,干,píng
变,O,B,vn,又,biàn
化,O,E,vn,亻,huà
与,O,S,p,一,yǔ
代,B-Disease,B,v,亻,dài
谢,I-Disease,E,v,讠,xiè
综,I-Disease,S,vn,纟,zōng
LB,I-Disease,S,x,UNK,UNK
合,I-Disease,B,n,口,hé
征,I-Disease,E,n,彳,zhēng
的,O,S,uj,白,dí
关,O,B,n,丷,guān
系,O,E,n,糸,xì
LB,O,S,x,UNK,UNK
周,O,S,nr,口,zhōu
中,O,B,ns,丨,zhōng
卫,O,E,ns,卩,wèi
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
居,O,B,nr,尸,jū
会,O,M,nr,人,huì
祥,O,E,nr,礻,xiáng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
孙,O,B,nr,子,sūn
明,O,M,nr,日,míng
忠,O,E,nr,心,zhōng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
陈,O,S,nr,阝,chén
红,O,B,nr,纟,hóng
梅,O,E,nr,木,méi
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
韩,O,B,nr,韦,hán
玉,O,M,nr,玉,yù
清,O,E,nr,氵,qīng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
傅,O,B,nr,亻,fù
庆,O,M,nr,广,qìng
萍,O,E,nr,艹,píng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
季,O,B,nr,子,jì
红,O,M,nr,纟,hóng
兵,O,E,nr,八,bīng
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
丁,O,B,nr,一,dīng
福,O,M,nr,礻,fú
万,O,E,nr,一,wàn
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
江,O,B,nr,氵,jiāng
冬,O,M,nr,夂,dōng
梅,O,E,nr,木,méi
sep,sep,sep,sep,sep,sep
LB,O,S,x,UNK,UNK
[,O,S,x,UNK,UNK
摘,O,B,v,扌,zhāi
要,O,E,v,覀,yào
],O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
目,O,B,n,目,mù
的,O,E,n,白,dí
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
探,O,B,v,扌,tàn
讨,O,E,v,讠,tǎo
血,B-Test,B,n,血,xiě
清,I-Test,E,n,氵,qīng
胎,I-Test,S,n,月,tāi
球,I-Test,B,l,王,qiú
蛋,I-Test,M,l,虫,dàn
白,I-Test,E,l,白,bái
SPACE,I-Test,S,x,UNK,UNK
A,I-Test,S,x,UNK,UNK
(,O,S,x,UNK,UNK
A,B-Test,B,eng,UNK,UNK
H,I-Test,M,eng,UNK,UNK
S,I-Test,M,eng,UNK,UNK
G,I-Test,E,eng,UNK,UNK
),O,S,x,UNK,UNK
及,O,S,c,又,jí
脂,B-Test,B,n,月,zhī
联,I-Test,M,n,耳,lián
素,I-Test,E,n,糸,sù
水,O,B,n,水,shuǐ
平,O,E,n,干,píng
变,O,B,vn,又,biàn
化,O,E,vn,亻,huà
与,O,S,p,一,yǔ
代,B-Disease,B,v,亻,dài
谢,I-Disease,E,v,讠,xiè
综,I-Disease,B,n,纟,zōng
合,I-Disease,M,n,口,hé
征,I-Disease,E,n,彳,zhēng
(,O,S,x,UNK,UNK
M,B-Disease,B,eng,UNK,UNK
